osmid,y,x,street_count,geometry
25280882,48.1803129,16.3243411,4,POINT (16.3243411 48.1803129)
61847566,48.1794445,16.3241926,4,POINT (16.3241926 48.1794445)
25280883,48.1816718,16.3245695,4,POINT (16.3245695 48.1816718)
25280885,48.1804364,16.3228432,4,POINT (16.3228432 48.1804364)
25280886,48.1802499,16.3252239,3,POINT (16.3252239 48.1802499)
25280887,48.1816317,16.3254954,3,POINT (16.3254954 48.1816317)
61848577,48.1828842,16.3245581,3,POINT (16.3245581 48.1828842)
25280884,48.181725,16.323122,4,POINT (16.323122 48.181725)
25280895,48.183127,16.3233935,4,POINT (16.3233935 48.183127)
61849353,48.180504,16.3219994,3,POINT (16.3219994 48.180504)
98808831,48.1802242,16.3255057,3,POINT (16.3255057 48.1802242)
302036233,48.1810269,16.3253776,3,POINT (16.3253776 48.1810269)
25280888,48.1827674,16.3257099,3,POINT (16.3257099 48.1827674)
302036228,48.1821661,16.3256001,3,POINT (16.3256001 48.1821661)
419713086,48.1828884,16.3261847,3,POINT (16.3261847 48.1828884)
25280891,48.1833135,16.3296127,4,POINT (16.3296127 48.1833135)
188865687,48.1826045,16.326985,3,POINT (16.326985 48.1826045)
272387572,48.1833946,16.3304357,3,POINT (16.3304357 48.1833946)
530712675,48.1840067,16.3291745,3,POINT (16.3291745 48.1840067)
25288045,48.1845527,16.3297517,4,POINT (16.3297517 48.1845527)
25280894,48.1838777,16.3194069,4,POINT (16.3194069 48.1838777)
91567968,48.1833903,16.3220096,3,POINT (16.3220096 48.1833903)
1185808621,48.184349,16.3295207,3,POINT (16.3295207 48.184349)
2398113604,48.1847038,16.329769,3,POINT (16.329769 48.1847038)
46864517,48.185207,16.3318901,3,POINT (16.3318901 48.185207)
25288047,48.1860198,16.3291172,4,POINT (16.3291172 48.1860198)
251064342,48.1853183,16.329445,3,POINT (16.329445 48.1853183)
46848629,48.1856933,16.3276316,3,POINT (16.3276316 48.1856933)
25288055,48.1865738,16.3312713,3,POINT (16.3312713 48.1865738)
46863475,48.1864856,16.3313667,3,POINT (16.3313667 48.1864856)
25288057,48.187481,16.330984,4,POINT (16.330984 48.187481)
46848807,48.1891275,16.3305418,3,POINT (16.3305418 48.1891275)
25470135,48.186921,16.3287207,3,POINT (16.3287207 48.186921)
25470136,48.1878866,16.3322822,3,POINT (16.3322822 48.1878866)
25288058,48.1899843,16.3303322,3,POINT (16.3303322 48.1899843)
25470106,48.1901029,16.3313083,4,POINT (16.3313083 48.1901029)
46848583,48.1912017,16.3300053,3,POINT (16.3300053 48.1912017)
1864591525,48.1901863,16.3319762,3,POINT (16.3319762 48.1901863)
25470107,48.1892862,16.331399,4,POINT (16.331399 48.1892862)
25470109,48.1893326,16.3304896,3,POINT (16.3304896 48.1893326)
25470125,48.1893864,16.3275149,3,POINT (16.3275149 48.1893864)
25470126,48.189062,16.3275986,4,POINT (16.3275986 48.189062)
33208147,48.1910179,16.3268954,3,POINT (16.3268954 48.1910179)
25470127,48.1889421,16.3265673,4,POINT (16.3265673 48.1889421)
46848552,48.1888706,16.3257927,4,POINT (16.3257927 48.1888706)
25470128,48.1867674,16.3269394,4,POINT (16.3269394 48.1867674)
25470129,48.1868862,16.3279927,3,POINT (16.3279927 48.1868862)
46848591,48.1865865,16.3261667,3,POINT (16.3261667 48.1865865)
25470130,48.1863102,16.3245458,4,POINT (16.3245458 48.1863102)
46848615,48.1851412,16.3252672,4,POINT (16.3252672 48.1851412)
25470134,48.186419,16.3252076,3,POINT (16.3252076 48.186419)
46848507,48.1862569,16.3237597,4,POINT (16.3237597 48.1862569)
25470131,48.1887998,16.3241614,4,POINT (16.3241614 48.1887998)
1839089248,48.1872586,16.324382,3,POINT (16.324382 48.1872586)
46848491,48.188805,16.3233935,4,POINT (16.3233935 48.188805)
25470132,48.1888244,16.324868,4,POINT (16.324868 48.1888244)
1579926926,48.1896633,16.3247448,1,POINT (16.3247448 48.1896633)
25470137,48.1880214,16.3329873,3,POINT (16.3329873 48.1880214)
25470138,48.1894231,16.3321415,4,POINT (16.3321415 48.1894231)
46848798,48.1900442,16.3320072,3,POINT (16.3320072 48.1900442)
25470140,48.2001972,16.3305501,3,POINT (16.3305501 48.2001972)
388103064,48.2001656,16.3304373,3,POINT (16.3304373 48.2001656)
25470141,48.2035644,16.3298996,3,POINT (16.3298996 48.2035644)
33238707,48.2032953,16.3298493,3,POINT (16.3298493 48.2032953)
33238715,48.2036597,16.3280309,3,POINT (16.3280309 48.2036597)
25470142,48.2025652,16.3297316,3,POINT (16.3297316 48.2025652)
33238688,48.2023828,16.3297345,3,POINT (16.3297345 48.2023828)
33238718,48.2025058,16.3280589,3,POINT (16.3280589 48.2025058)
25470143,48.201392,16.3298776,3,POINT (16.3298776 48.201392)
25470144,48.2008169,16.3300845,4,POINT (16.3300845 48.2008169)
33238728,48.2012779,16.328325,4,POINT (16.328325 48.2012779)
33238692,48.2008655,16.3303188,4,POINT (16.3303188 48.2008655)
25637884,48.2443057,16.3683463,4,POINT (16.3683463 48.2443057)
60443682,48.2443464,16.3682432,4,POINT (16.3682432 48.2443464)
60225307,48.2458433,16.3701917,4,POINT (16.3701917 48.2458433)
60822812,48.243415,16.3705134,3,POINT (16.3705134 48.243415)
25778306,48.2221626,16.3533212,4,POINT (16.3533212 48.2221626)
1370935902,48.2220113,16.3535485,3,POINT (16.3535485 48.2220113)
2460734402,48.2222791,16.3534004,4,POINT (16.3534004 48.2222791)
25778543,48.220538,16.3567596,3,POINT (16.3567596 48.220538)
25778554,48.2219529,16.356299,4,POINT (16.356299 48.2219529)
