u,v,geometry
34591544,34591545,"LINESTRING (16.3682301 48.1995253, 16.3682401 48.1995459, 16.3685614 48.2002093, 16.368718 48.2005366, 16.3687334 48.20057, 16.3687544 48.2006146, 16.3687953 48.2007015, 16.3688221 48.2007584)"
30677377,34797087,"LINESTRING (16.3662523 48.1984692, 16.3661456 48.1984948, 16.3659096 48.1985598, 16.3657286 48.1986136, 16.3655425 48.1986811, 16.3651175 48.1990488, 16.3650293 48.1991205)"
30677377,319727762,"LINESTRING (16.3662523 48.1984692, 16.3662239 48.1983968, 16.3657935 48.1973448)"
34774202,685138,"LINESTRING (16.3634115 48.1988151, 16.3633356 48.1987775, 16.3631136 48.1986674, 16.362755 48.1984896, 16.3626361 48.1984306)"
34774202,685122,"LINESTRING (16.3634115 48.1988151, 16.3634916 48.198746, 16.3637476 48.1985305, 16.3638149 48.1984691)"
34797087,685124,"LINESTRING (16.3650293 48.1991205, 16.3650886 48.1991508, 16.365457 48.1993499, 16.365805 48.1995379, 16.365862 48.1995687, 16.3659864 48.199636, 16.3660437 48.1996669, 16.3661223 48.1997169, 16.3662833 48.199809)"
319727762,30677379,"LINESTRING (16.3657935 48.1973448, 16.3657686 48.1972654, 16.365674 48.1970398, 16.3656304 48.1969648)"
30677379,1636160845,"LINESTRING (16.3656304 48.1969648, 16.3656784 48.1969116, 16.3657359 48.1968718, 16.3658758 48.1967959, 16.3660908 48.1966936, 16.3662808 48.1966074, 16.3663984 48.1965681, 16.3670102 48.1964216, 16.3670509 48.1964095, 16.3671592 48.1963796)"
30677379,30677550,"LINESTRING (16.3656304 48.1969648, 16.3656027 48.1969064, 16.3651049 48.1964248)"
1636160845,48071926,"LINESTRING (16.3671592 48.1963796, 16.3681693 48.1962582)"
1636160845,199601,"LINESTRING (16.3671592 48.1963796, 16.3671829 48.1964333, 16.3671974 48.1964699, 16.3672486 48.1965996, 16.3673038 48.1967658, 16.3673671 48.1969879, 16.3673996 48.1971556, 16.3674264 48.1973813, 16.367441 48.1975894)"
30677550,65093732,"LINESTRING (16.3651049 48.1964248, 16.3651555 48.1963615, 16.3651916 48.1963437, 16.3656664 48.1961352, 16.3661863 48.1959799, 16.3669013 48.1958496, 16.3669526 48.1958403, 16.3670485 48.1958226)"
30677550,30677552,"LINESTRING (16.3651049 48.1964248, 16.3647011 48.1961506, 16.364315 48.1958706, 16.3637095 48.1954769)"
48071926,35477936,"LINESTRING (16.3681693 48.1962582, 16.368282 48.196221, 16.3684244 48.1961562, 16.3685889 48.1960621, 16.3688986 48.1957983)"
199601,319727762,"LINESTRING (16.367441 48.1975894, 16.3674421 48.1976046, 16.3673921 48.197668, 16.3673778 48.1976861, 16.3672638 48.1977379, 16.3671486 48.1977493, 16.367033 48.1977324, 16.366569 48.1975146, 16.3660753 48.1972938, 16.3659698 48.1972732, 16.3658725 48.1972956, 16.3657935 48.1973448)"
199601,34591541,"LINESTRING (16.367441 48.1975894, 16.367573 48.1975838)"
65093732,35476561,"LINESTRING (16.3670485 48.1958226, 16.3671181 48.1958133, 16.367157 48.1958081, 16.3671966 48.1958034, 16.3672367 48.1958006, 16.3681432 48.1957234)"
65093732,1636160845,"LINESTRING (16.3670485 48.1958226, 16.3670492 48.195873, 16.367056 48.1959335, 16.3670735 48.1960397, 16.3670956 48.1961347, 16.3671278 48.1962469, 16.3671592 48.1963796)"
30677552,2198322876,"LINESTRING (16.3637095 48.1954769, 16.3635886 48.1954294, 16.3634952 48.1953732, 16.3634387 48.1953392)"
35477936,35478227,"LINESTRING (16.3688986 48.1957983, 16.3689508 48.1957451, 16.3690077 48.195687, 16.3692414 48.1954195)"
35477936,35476562,"LINESTRING (16.3688986 48.1957983, 16.3688378 48.1957253, 16.368774 48.1956913, 16.3686911 48.1956699)"
34591541,34591542,"LINESTRING (16.367573 48.1975838, 16.3675931 48.1976973, 16.3676739 48.1981544, 16.3676886 48.1982224)"
34591541,48071981,"LINESTRING (16.367573 48.1975838, 16.367652 48.1975708, 16.369343 48.1972923)"
35476561,35476562,"LINESTRING (16.3681432 48.1957234, 16.3686911 48.1956699)"
35476561,48071926,"LINESTRING (16.3681432 48.1957234, 16.368091 48.1961453, 16.3681123 48.1962024, 16.3681693 48.1962582)"
2198322876,30677553,"LINESTRING (16.3634387 48.1953392, 16.3634817 48.1953001)"
2198322876,35475941,"LINESTRING (16.3634387 48.1953392, 16.3633073 48.195315, 16.363089 48.1952719, 16.3629795 48.1952922, 16.3629008 48.195309, 16.3627911 48.1953001, 16.3627342 48.1953029, 16.3626748 48.1953133, 16.3625426 48.1953592, 16.3621272 48.1955706, 16.3620559 48.1956004)"
35476562,35478227,"LINESTRING (16.3686911 48.1956699, 16.3687876 48.195649, 16.3688803 48.1956276, 16.3689978 48.1955772, 16.3692414 48.1954195)"
35478227,35479449,"LINESTRING (16.3692414 48.1954195, 16.3693475 48.195297)"
34591542,34591544,"LINESTRING (16.3676886 48.1982224, 16.3677065 48.1982966, 16.3677395 48.1984395, 16.3677566 48.1985032, 16.3678439 48.1987568, 16.3679757 48.1990695, 16.367991 48.199107, 16.3680272 48.1991779, 16.3681494 48.1994115, 16.3682023 48.1994881, 16.3682125 48.1995017, 16.3682301 48.1995253)"
34591542,30677377,"LINESTRING (16.3676886 48.1982224, 16.367601 48.1982398, 16.3675621 48.1982483, 16.3675219 48.1982555, 16.3663509 48.1984422, 16.3662523 48.1984692)"
48071981,48071971,"LINESTRING (16.369343 48.1972923, 16.3699249 48.1971918)"
48071981,1842860260,"LINESTRING (16.369343 48.1972923, 16.3695013 48.1979188)"
30677553,30677552,"LINESTRING (16.3634817 48.1953001, 16.3635379 48.1953404, 16.3636632 48.1954213, 16.3637095 48.1954769)"
30677553,34762042,"LINESTRING (16.3634817 48.1953001, 16.3635107 48.1952741, 16.3646628 48.194297)"
35475941,35475940,"LINESTRING (16.3620559 48.1956004, 16.3617595 48.1954156, 16.3613786 48.1951807, 16.3610548 48.1949811, 16.3609876 48.1949429, 16.3608835 48.1948796)"
34762042,30692799,"LINESTRING (16.3646628 48.194297, 16.3642236 48.1940702)"
35475940,48097155,"LINESTRING (16.3608835 48.1948796, 16.3608641 48.1949026, 16.3604816 48.1953568)"
35475940,35475939,"LINESTRING (16.3608835 48.1948796, 16.3599316 48.194334)"
30692799,30692800,"LINESTRING (16.3642236 48.1940702, 16.3634778 48.1937122)"
30692800,94997556,"LINESTRING (16.3634778 48.1937122, 16.3626594 48.193213)"
30692800,30677554,"LINESTRING (16.3634778 48.1937122, 16.3624993 48.1945134, 16.3624549 48.1945462)"
48097155,34765363,"LINESTRING (16.3604816 48.1953568, 16.360279 48.1956038, 16.3594442 48.1966217, 16.3594021 48.1966757)"
48097155,48097164,"LINESTRING (16.3604816 48.1953568, 16.3593309 48.1951606)"
35475939,48097164,"LINESTRING (16.3599316 48.194334, 16.3593309 48.1951606)"
35475939,685119,"LINESTRING (16.3599316 48.194334, 16.3591448 48.1938682)"
34765363,685116,"LINESTRING (16.3594021 48.1966757, 16.3594871 48.1966959, 16.3599126 48.1968009, 16.3609046 48.1970484)"
34765363,685136,"LINESTRING (16.3594021 48.1966757, 16.3593414 48.1967118, 16.3592998 48.1967445, 16.3592165 48.1969315, 16.3591917 48.1969834, 16.3591624 48.1970446, 16.35912 48.197141, 16.3590903 48.1972091, 16.3590637 48.1972694)"
48097164,48097174,"LINESTRING (16.3593309 48.1951606, 16.3583087 48.1950109)"
48097164,48097207,"LINESTRING (16.3593309 48.1951606, 16.3584236 48.1964449)"
685119,30692839,"LINESTRING (16.3591448 48.1938682, 16.3592998 48.1937765, 16.3594067 48.1937266, 16.3595624 48.1936766, 16.3597706 48.1935758, 16.3598552 48.1935124, 16.3602832 48.1933021, 16.3604209 48.193255, 16.360677 48.1931327, 16.3608506 48.1930575, 16.3609566 48.1929905)"
685119,111973749,"LINESTRING (16.3591448 48.1938682, 16.3582428 48.1932871)"
685116,685121,"LINESTRING (16.3609046 48.1970484, 16.3613807 48.1971919, 16.3617868 48.1973579, 16.3619301 48.1974213)"
685116,35476029,"LINESTRING (16.3609046 48.1970484, 16.3609514 48.1969907, 16.3616494 48.1961649, 16.3617128 48.1961084, 16.3618009 48.1960297)"
48097174,48097188,"LINESTRING (16.3583087 48.1950109, 16.3574945 48.1946794, 16.3566366 48.1943282)"
48097174,685119,"LINESTRING (16.3583087 48.1950109, 16.3591448 48.1938682)"
48097207,34765363,"LINESTRING (16.3584236 48.1964449, 16.3588104 48.1965344, 16.359069 48.1965942, 16.3592247 48.1966339, 16.3594021 48.1966757)"
48071971,21480571,"LINESTRING (16.3699249 48.1971918, 16.3697116 48.1968932, 16.3695691 48.1966976, 16.3695395 48.1966551, 16.3694665 48.1965502, 16.3694537 48.1964917)"
1842860260,34591542,"LINESTRING (16.3695013 48.1979188, 16.3692868 48.1979516, 16.3688057 48.1980297, 16.3684121 48.1980951, 16.3678035 48.1981974, 16.3676886 48.1982224)"
21480571,35477936,"LINESTRING (16.3694537 48.1964917, 16.3689675 48.1963095, 16.3689028 48.1962688, 16.3688813 48.1962506, 16.3688563 48.1962171, 16.3688286 48.1961501, 16.3688211 48.196096, 16.3688228 48.1960485, 16.3688463 48.1959904, 16.3688911 48.1958906, 16.3688986 48.1957983)"
48210016,394906,"LINESTRING (16.3739339 48.2021834, 16.3740776 48.2019284, 16.3741438 48.20181, 16.374169 48.2017631, 16.3741818 48.2017372, 16.3742399 48.201625)"
48210016,48210036,"LINESTRING (16.3739339 48.2021834, 16.3756113 48.203756)"
48210036,17312853,"LINESTRING (16.3756113 48.203756, 16.3762678 48.2034646, 16.3763309 48.2034343, 16.37642 48.203389, 16.3764862 48.2033562, 16.3765466 48.2033264)"
48210036,48210040,"LINESTRING (16.3756113 48.203756, 16.3762031 48.2043068)"
33182967,48210016,"LINESTRING (16.3735393 48.2028838, 16.3735606 48.202846, 16.3738385 48.2023527, 16.3739339 48.2021834)"
33182967,33182966,"LINESTRING (16.3735393 48.2028838, 16.3733521 48.2029257, 16.372238 48.2031716, 16.3721508 48.2031885)"
33182966,33182965,"LINESTRING (16.3721508 48.2031885, 16.3720553 48.2032101, 16.3714749 48.2033409, 16.370428 48.2035717, 16.3703259 48.2035914)"
33182966,48210009,"LINESTRING (16.3721508 48.2031885, 16.372121 48.2031334, 16.3718682 48.2026436)"
48210009,48210016,"LINESTRING (16.3718682 48.2026436, 16.3735162 48.2022764, 16.373756 48.202223, 16.3739339 48.2021834)"
33182963,33182967,"LINESTRING (16.3731562 48.2035503, 16.3734355 48.2030668, 16.3735393 48.2028838)"
33182963,33182962,"LINESTRING (16.3731562 48.2035503, 16.3730026 48.2035387, 16.3728975 48.2035379, 16.3724007 48.2036642)"
33182962,33182966,"LINESTRING (16.3724007 48.2036642, 16.3721829 48.2032518, 16.3721508 48.2031885)"
33182923,33182963,"LINESTRING (16.3735555 48.2039389, 16.373163 48.203619, 16.3731562 48.2035503)"
33182958,33182923,"LINESTRING (16.3741593 48.2044262, 16.3740976 48.2043744, 16.3735555 48.2039389)"
33182958,33182959,"LINESTRING (16.3741593 48.2044262, 16.3742354 48.2043782, 16.3748216 48.204116, 16.374902 48.2040801)"
33182924,33182923,"LINESTRING (16.3743256 48.2035771, 16.3735555 48.2039389)"
33182924,33182967,"LINESTRING (16.3743256 48.2035771, 16.3736452 48.2029772, 16.3735393 48.2028838)"
33182954,33182956,"LINESTRING (16.372347 48.2057802, 16.372487 48.2057464, 16.3726258 48.2057127, 16.3731592 48.2055763, 16.3739086 48.2053839, 16.3744385 48.2052043, 16.3745511 48.2051304)"
33182946,35589583,"LINESTRING (16.3727506 48.2069826, 16.3730102 48.2075894)"
35589583,35589585,"LINESTRING (16.3730102 48.2075894, 16.3731568 48.2075387, 16.3736493 48.2073573, 16.3738155 48.207293, 16.3740424 48.2071852, 16.3746136 48.2068637)"
35589585,48210254,"LINESTRING (16.3746136 48.2068637, 16.3749353 48.20711, 16.3752335 48.2073376, 16.3752696 48.2073653, 16.3756667 48.2077399, 16.3756772 48.2077791, 16.3759043 48.2080452, 16.3759438 48.2081118)"
35589585,35589589,"LINESTRING (16.3746136 48.2068637, 16.3747329 48.2068034, 16.3751276 48.2066192, 16.3754923 48.2064729, 16.3758267 48.2063448, 16.3759976 48.206302)"
199522,59988367,"LINESTRING (16.3780031 48.2065851, 16.3780176 48.2065783, 16.3776209 48.2061876, 16.3775659 48.2061304)"
119394658,48071580,"LINESTRING (16.3745722 48.1983435, 16.3742455 48.1982239, 16.3729983 48.1977674)"
119394658,48072011,"LINESTRING (16.3745722 48.1983435, 16.3744903 48.198385, 16.3743582 48.1984521, 16.373606 48.1987675, 16.3734231 48.1988583)"
48071878,48071764,"LINESTRING (16.3750073 48.1978739, 16.3749455 48.1978525, 16.3721666 48.1968892, 16.3721352 48.1968783, 16.372067 48.1968598)"
48071878,66858434,"LINESTRING (16.3750073 48.1978739, 16.3751237 48.1977148, 16.3751948 48.1976176, 16.3752338 48.1975643, 16.3755868 48.1969526)"
60253447,83672095,"LINESTRING (16.3814687 48.2014952, 16.3820268 48.2016457, 16.3823707 48.2018004, 16.382812 48.2020453, 16.3828724 48.2020808)"
123419800,599691756,"LINESTRING (16.3808552 48.2008588, 16.3809376 48.200262)"
17312854,47998074,"LINESTRING (16.3783496 48.2004917, 16.3774845 48.1999753, 16.3774016 48.1999292, 16.3773285 48.1998849)"
17312854,47998082,"LINESTRING (16.3783496 48.2004917, 16.3784207 48.2004411, 16.3788642 48.2001205)"
47998088,60253446,"LINESTRING (16.3797828 48.2007368, 16.3807956 48.2013542)"
47998088,47998036,"LINESTRING (16.3797828 48.2007368, 16.3806313 48.2001358)"
83672095,123539168,"LINESTRING (16.3828724 48.2020808, 16.3829219 48.2021043, 16.3833943 48.2023489, 16.3839756 48.2026632)"
83672095,123431334,"LINESTRING (16.3828724 48.2020808, 16.3817253 48.2029764, 16.3816712 48.2030188, 16.3816157 48.203068)"
599691756,47997633,"LINESTRING (16.3809376 48.200262, 16.3809771 48.1996284, 16.3809825 48.1995142, 16.3810011 48.1992267, 16.3810098 48.1991952, 16.3810233 48.1990879, 16.3810313 48.1990246)"
47998074,28150494,"LINESTRING (16.3773285 48.1998849, 16.3772285 48.1998325, 16.3766084 48.1995077, 16.3763737 48.1993848, 16.3762958 48.1993387, 16.3762057 48.1992557)"
47998074,47998068,"LINESTRING (16.3773285 48.1998849, 16.3774316 48.1998209, 16.3778956 48.1995326)"
47998082,47998088,"LINESTRING (16.3788642 48.2001205, 16.3789145 48.2001585, 16.3797828 48.2007368)"
47998082,47998028,"LINESTRING (16.3788642 48.2001205, 16.3795952 48.1995343)"
47998036,599691756,"LINESTRING (16.3806313 48.2001358, 16.3806965 48.2001314, 16.3808246 48.2002052, 16.3809376 48.200262)"
47998036,47998028,"LINESTRING (16.3806313 48.2001358, 16.3795952 48.1995343)"
123539168,123540051,"LINESTRING (16.3839756 48.2026632, 16.3840832 48.2027073, 16.3842777 48.2027736, 16.3843656 48.2028083)"
47997633,47997623,"LINESTRING (16.3810313 48.1990246, 16.380914 48.1990183, 16.3803103 48.198986)"
47997633,47997827,"LINESTRING (16.3810313 48.1990246, 16.3810263 48.1989711, 16.3810074 48.1987697, 16.3810563 48.1984019, 16.3810855 48.1981889)"
28150494,199478,"LINESTRING (16.3762057 48.1992557, 16.3759938 48.1992771, 16.3758276 48.1993161)"
47998068,47997611,"LINESTRING (16.3778956 48.1995326, 16.3785758 48.1991124, 16.3788007 48.1989704)"
47998028,47997623,"LINESTRING (16.3795952 48.1995343, 16.3801408 48.1990822, 16.3803103 48.198986)"
47998028,47997611,"LINESTRING (16.3795952 48.1995343, 16.3795022 48.1995109, 16.3788007 48.1989704)"
123540051,62664093,"LINESTRING (16.3843656 48.2028083, 16.3854311 48.2032012, 16.3857718 48.2033751, 16.385938 48.20346, 16.3860545 48.2035405, 16.3861056 48.2035758, 16.3861197 48.2035856)"
123540051,123540302,"LINESTRING (16.3843656 48.2028083, 16.3842031 48.2034042)"
47997623,47997629,"LINESTRING (16.3803103 48.198986, 16.379878 48.1989847, 16.3797421 48.1989831, 16.37955 48.1989808)"
47997623,47997821,"LINESTRING (16.3803103 48.198986, 16.3803984 48.1981487)"
47997827,47997962,"LINESTRING (16.3810855 48.1981889, 16.3810936 48.1977714, 16.381139 48.1973369)"
47997827,47997821,"LINESTRING (16.3810855 48.1981889, 16.3803984 48.1981487)"
2399048019,2399047993,"LINESTRING (16.3856033 48.2057668, 16.3856741 48.2058774, 16.3856933 48.2059085, 16.3863241 48.2068225)"
2399048019,82748983,"LINESTRING (16.3856033 48.2057668, 16.3856547 48.2057523, 16.3857061 48.2057369, 16.3863549 48.205542)"
123540816,62664093,"LINESTRING (16.3856069 48.2037424, 16.3860073 48.20362, 16.3861197 48.2035856)"
123540816,123540302,"LINESTRING (16.3856069 48.2037424, 16.3855891 48.2037347, 16.3855449 48.2037155, 16.3852886 48.2036041, 16.3842548 48.2034137, 16.3842031 48.2034042)"
60484721,75557600,"LINESTRING (16.3886766 48.20685, 16.3887977 48.2068639, 16.3894225 48.2068537)"
60484721,75555806,"LINESTRING (16.3886766 48.20685, 16.3887516 48.2069344, 16.3889818 48.207386)"
123597380,82748983,"LINESTRING (16.3870806 48.2065848, 16.386724 48.2060774, 16.3864051 48.2056155, 16.3863549 48.205542)"
75552571,60121500,"LINESTRING (16.3868553 48.210119, 16.3868786 48.2102905, 16.3868997 48.2104453)"
75552571,75552086,"LINESTRING (16.3868553 48.210119, 16.3868783 48.210106, 16.3870087 48.2100322, 16.38787 48.2095452)"
82721803,60121781,"LINESTRING (16.388273 48.2093145, 16.3885437 48.2091705)"
82721803,1834749079,"LINESTRING (16.388273 48.2093145, 16.3888769 48.2097333)"
75557600,60484418,"LINESTRING (16.3894225 48.2068537, 16.3900175 48.2068521)"
75557600,60121793,"LINESTRING (16.3894225 48.2068537, 16.389907 48.2077626)"
75555806,60121792,"LINESTRING (16.3889818 48.207386, 16.3892529 48.207924)"
82748983,30059993,"LINESTRING (16.3863549 48.205542, 16.3868661 48.2053563, 16.3869777 48.2053121, 16.3870829 48.2052589, 16.387378 48.2051095, 16.3874845 48.2050556)"
60121500,84546043,"LINESTRING (16.3868997 48.2104453, 16.3869119 48.2105521, 16.3869148 48.2105775, 16.3869531 48.2108547, 16.3869679 48.210983, 16.3869765 48.211019, 16.3869922 48.2110755, 16.3869977 48.2110954, 16.3870321 48.2111608, 16.3870393 48.2111745)"
75552086,82721803,"LINESTRING (16.38787 48.2095452, 16.388273 48.2093145)"
60121781,60121791,"LINESTRING (16.3885437 48.2091705, 16.3884833 48.2090897, 16.3880249 48.2082087)"
60121781,60121782,"LINESTRING (16.3885437 48.2091705, 16.3895856 48.2087807, 16.3896833 48.2087491)"
1834749079,75580284,"LINESTRING (16.3888769 48.2097333, 16.389075 48.2095824, 16.389695 48.2092936, 16.3899028 48.2091986)"
1834749079,123623206,"LINESTRING (16.3888769 48.2097333, 16.3894629 48.2101491, 16.3895572 48.2102137)"
60019314,60060344,"LINESTRING (16.3799431 48.2096755, 16.3811345 48.2092692)"
60019314,60121388,"LINESTRING (16.3799431 48.2096755, 16.3799389 48.2098669, 16.3799666 48.2103266)"
60484418,75546116,"LINESTRING (16.3900175 48.2068521, 16.3904672 48.2067588, 16.3914769 48.2064381)"
60484418,60121794,"LINESTRING (16.3900175 48.2068521, 16.390707 48.2075665)"
60121793,60121783,"LINESTRING (16.389907 48.2077626, 16.3903609 48.2085852)"
60121793,60121794,"LINESTRING (16.389907 48.2077626, 16.390707 48.2075665)"
60121792,60121782,"LINESTRING (16.3892529 48.207924, 16.3893157 48.2080444, 16.3896833 48.2087491)"
60121792,60121793,"LINESTRING (16.3892529 48.207924, 16.389907 48.2077626)"
30059993,75565628,"LINESTRING (16.3874845 48.2050556, 16.3875309 48.2051199, 16.3879553 48.2057073)"
30059993,78491864,"LINESTRING (16.3874845 48.2050556, 16.3875464 48.2050141, 16.3879065 48.2047741, 16.3882939 48.2045159, 16.3884123 48.2044235, 16.3885996 48.2042773, 16.3886713 48.2042226)"
84546043,60211672,"LINESTRING (16.3870393 48.2111745, 16.3870422 48.211188, 16.3870595 48.2112614, 16.3871108 48.2118438, 16.3871211 48.2118913, 16.3870999 48.2119656)"
84546043,60211648,"LINESTRING (16.3870393 48.2111745, 16.3871272 48.2111691, 16.3871722 48.2111663, 16.3872845 48.2111593, 16.3874663 48.2111481, 16.3878575 48.2111212)"
60121791,75555809,"LINESTRING (16.3880249 48.2082087, 16.3879865 48.208134, 16.3879079 48.207981, 16.3878397 48.2078502, 16.3877442 48.2076672)"
60121791,60121792,"LINESTRING (16.3880249 48.2082087, 16.3892529 48.207924)"
60121782,75580284,"LINESTRING (16.3896833 48.2087491, 16.3898995 48.2091443, 16.3899028 48.2091986)"
60121782,60121783,"LINESTRING (16.3896833 48.2087491, 16.3898033 48.208729, 16.3903609 48.2085852)"
75580284,60484722,"LINESTRING (16.3899028 48.2091986, 16.389973 48.2093046, 16.390173 48.2096793, 16.3902148 48.2097432)"
75580284,75578986,"LINESTRING (16.3899028 48.2091986, 16.3905323 48.2089144)"
123623206,319828394,"LINESTRING (16.3895572 48.2102137, 16.3894943 48.2102628, 16.3894388 48.2102855, 16.3893905 48.2102966, 16.3884192 48.2103464)"
75546116,75545611,"LINESTRING (16.3914769 48.2064381, 16.3917705 48.2063226, 16.3922793 48.2061696)"
60121794,62663986,"LINESTRING (16.390707 48.2075665, 16.3907678 48.2076128, 16.3908511 48.2077522, 16.3911653 48.2084324)"
60121794,75546114,"LINESTRING (16.390707 48.2075665, 16.3915048 48.2074457, 16.3919079 48.2073657)"
60121783,75578986,"LINESTRING (16.3903609 48.2085852, 16.3903706 48.2086278, 16.3905323 48.2089144)"
60121783,62663986,"LINESTRING (16.3903609 48.2085852, 16.3909613 48.2084359, 16.3910569 48.2084219, 16.3911653 48.2084324)"
75565628,75574436,"LINESTRING (16.3879553 48.2057073, 16.3884573 48.2064629)"
75565628,79856495,"LINESTRING (16.3879553 48.2057073, 16.3886194 48.2053571)"
78491864,75569586,"LINESTRING (16.3886713 48.2042226, 16.3887674 48.2041352, 16.3888094 48.204097, 16.3889481 48.203971, 16.3892993 48.2036934, 16.3898543 48.2032264, 16.3899071 48.2031786)"
75545611,60216504,"LINESTRING (16.3922793 48.2061696, 16.3932878 48.2058576, 16.393989 48.2056784, 16.3940209 48.2056682, 16.3941592 48.2056238)"
75545611,75545615,"LINESTRING (16.3922793 48.2061696, 16.3926663 48.2073809)"
62663986,75579549,"LINESTRING (16.3911653 48.2084324, 16.3911608 48.2084911, 16.3913494 48.2088649)"
62663986,60121785,"LINESTRING (16.3911653 48.2084324, 16.3920823 48.2083357)"
75546114,75545615,"LINESTRING (16.3919079 48.2073657, 16.3922426 48.2073049, 16.3926663 48.2073809)"
75546114,75546116,"LINESTRING (16.3919079 48.2073657, 16.3919037 48.2073255, 16.3914769 48.2064381)"
75578986,75578985,"LINESTRING (16.3905323 48.2089144, 16.3909332 48.2091586)"
60216504,60216479,"LINESTRING (16.3941592 48.2056238, 16.3943373 48.2055646, 16.3944039 48.2055424, 16.3945413 48.2054834, 16.3946803 48.2054461)"
60216504,60216511,"LINESTRING (16.3941592 48.2056238, 16.3945164 48.2056604, 16.394588 48.2056663, 16.3947283 48.2056779)"
75545615,295436141,"LINESTRING (16.3926663 48.2073809, 16.3927661 48.2074016)"
75579549,62663988,"LINESTRING (16.3913494 48.2088649, 16.3914627 48.2091217, 16.3917711 48.2093127, 16.3918199 48.2093447, 16.3918348 48.2093545)"
75579549,75578985,"LINESTRING (16.3913494 48.2088649, 16.3912315 48.2089484, 16.3909332 48.2091586)"
60121785,1523036694,"LINESTRING (16.3920823 48.2083357, 16.3921456 48.2083301, 16.3928961 48.208384, 16.3929649 48.208389, 16.3929875 48.2083906)"
60121785,75548259,"LINESTRING (16.3920823 48.2083357, 16.3919895 48.2078263)"
75578985,60484722,"LINESTRING (16.3909332 48.2091586, 16.3908594 48.2092388, 16.3902148 48.2097432)"
60216479,75558388,"LINESTRING (16.3946803 48.2054461, 16.3947372 48.2054112)"
60216511,60216479,"LINESTRING (16.3947283 48.2056779, 16.3946657 48.2056109, 16.3946587 48.2055946, 16.3946223 48.20551, 16.3946803 48.2054461)"
60216511,60121814,"LINESTRING (16.3947283 48.2056779, 16.3947263 48.2057133, 16.3946956 48.2057665, 16.394688 48.2057797, 16.3946069 48.2059204, 16.3943815 48.2062656, 16.3940468 48.2067803)"
60216511,60216542,"LINESTRING (16.3947283 48.2056779, 16.3948342 48.2057084, 16.3948965 48.2057263, 16.3950361 48.2057572, 16.3952546 48.2058024, 16.3954383 48.2058443)"
295436141,60121797,"LINESTRING (16.3927661 48.2074016, 16.3934643 48.2075375, 16.3935227 48.2075489, 16.3935422 48.2075527)"
62663988,62663158,"LINESTRING (16.3918348 48.2093545, 16.391607 48.2095193, 16.391396 48.2096893)"
1523036694,60121726,"LINESTRING (16.3929875 48.2083906, 16.3930061 48.2083918, 16.3930764 48.2083965, 16.393089 48.2083973, 16.3937103 48.2085119)"
1523036694,60484526,"LINESTRING (16.3929875 48.2083906, 16.3929311 48.2084552, 16.3929131 48.2084774, 16.3928392 48.2085573, 16.3926964 48.2086834, 16.3925813 48.208774, 16.3925419 48.2088051, 16.3922329 48.2090482)"
75548259,75546114,"LINESTRING (16.3919895 48.2078263, 16.3919079 48.2073657)"
75548259,75548572,"LINESTRING (16.3919895 48.2078263, 16.3920924 48.2078272, 16.3926448 48.2078833)"
60121814,60216552,"LINESTRING (16.3940468 48.2067803, 16.3939921 48.2068711)"
60121814,256137136,"LINESTRING (16.3940468 48.2067803, 16.3940276 48.2067751, 16.393969 48.2067591, 16.3934021 48.2066045, 16.3933322 48.2066412, 16.3932719 48.2067471, 16.393295 48.2068049, 16.3938531 48.2069402, 16.3939112 48.2069542, 16.39393 48.2069588)"
60216542,60216505,"LINESTRING (16.3954383 48.2058443, 16.3955174 48.205856, 16.3955697 48.2058638, 16.3958721 48.2059089, 16.3960511 48.205923, 16.3962019 48.2059389, 16.3963438 48.2059527)"
60121797,75548264,"LINESTRING (16.3935422 48.2075527, 16.3935036 48.2076108, 16.393446 48.2076997, 16.3932893 48.2079416)"
75548264,1523036694,"LINESTRING (16.3932893 48.2079416, 16.3930993 48.2082279, 16.3930182 48.2083459, 16.3929875 48.2083906)"
75548264,309434113,"LINESTRING (16.3932893 48.2079416, 16.3933077 48.207943, 16.3933777 48.2079484, 16.3945725 48.2081842)"
60216552,256137136,"LINESTRING (16.3939921 48.2068711, 16.39393 48.2069588)"
60216552,60216551,"LINESTRING (16.3939921 48.2068711, 16.3940056 48.2068748, 16.3940624 48.2068905, 16.3949743 48.2071416)"
256137136,60121797,"LINESTRING (16.39393 48.2069588, 16.3936095 48.2074494, 16.3935422 48.2075527)"
60216551,60216542,"LINESTRING (16.3949743 48.2071416, 16.3954303 48.205877, 16.3954383 48.2058443)"
60216551,75576464,"LINESTRING (16.3949743 48.2071416, 16.3950808 48.2071838, 16.3955496 48.207304, 16.396054 48.2073454)"
17314952,3578946357,"LINESTRING (16.4290851 48.2081054, 16.4286629 48.2078393, 16.4285591 48.207772, 16.4284026 48.2076688, 16.4283258 48.2076269)"
17314952,14078721,"LINESTRING (16.4290851 48.2081054, 16.4275904 48.2091531)"
3578946357,17314948,"LINESTRING (16.4283258 48.2076269, 16.4284493 48.2075374, 16.4288409 48.2072535, 16.4296537 48.2066901, 16.4297884 48.2065967)"
14078721,17314950,"LINESTRING (16.4275904 48.2091531, 16.4274806 48.2090828, 16.4271172 48.2088499, 16.4270977 48.2088399, 16.4270586 48.2088198, 16.4269852 48.2088146, 16.426973 48.2087935, 16.4268872 48.2086444)"
