gen	nevals	avg        	std        	min        	max        
475	3681  	2.75896e+09	1.28033e+10	1.37749e+09	3.68709e+11
476	3564  	3.05065e+09	1.50688e+10	1.3758e+09 	3.58285e+11
477	3613  	3.10905e+09	1.53651e+10	1.3758e+09 	3.76588e+11
478	3556  	2.56333e+09	9.69359e+09	1.3758e+09 	3.59439e+11
479	3696  	3.12537e+09	1.59717e+10	1.37561e+09	3.8134e+11 
480	3541  	2.71642e+09	1.31687e+10	1.3744e+09 	3.55643e+11
481	3560  	2.70737e+09	1.2812e+10 	1.37424e+09	3.80925e+11
482	3542  	2.66024e+09	1.04007e+10	1.37329e+09	3.57578e+11
483	3640  	2.61991e+09	1.16483e+10	1.37265e+09	3.74905e+11
484	3559  	2.86949e+09	1.51722e+10	1.36969e+09	3.68776e+11
485	3523  	2.80479e+09	1.23584e+10	1.36969e+09	3.5627e+11 
486	3595  	2.75947e+09	1.22963e+10	1.36868e+09	3.6869e+11 
487	3638  	2.67995e+09	1.21602e+10	1.36668e+09	3.58928e+11
488	3646  	3.18863e+09	1.75274e+10	1.36668e+09	3.7796e+11 
489	3572  	2.92442e+09	1.45842e+10	1.36668e+09	3.56918e+11
490	3666  	3.01228e+09	1.39656e+10	1.35991e+09	3.56997e+11
491	3524  	2.88195e+09	1.3846e+10 	1.35961e+09	3.60511e+11
492	3537  	2.9843e+09 	1.61144e+10	1.35939e+09	3.72946e+11
493	3655  	2.56104e+09	8.95073e+09	1.35701e+09	3.55698e+11
494	3551  	2.67839e+09	1.21812e+10	1.35684e+09	3.57041e+11
495	3685  	2.74909e+09	1.2527e+10 	1.35257e+09	3.76544e+11
496	3638  	2.60277e+09	1.09198e+10	1.34921e+09	3.56414e+11
497	3612  	2.98092e+09	1.48316e+10	1.34843e+09	3.74113e+11
498	3518  	2.6231e+09 	1.17462e+10	1.34843e+09	3.57684e+11
499	3567  	2.9111e+09 	1.46863e+10	1.34786e+09	3.96524e+11
500	3585  	2.79372e+09	1.32717e+10	1.34716e+09	3.60744e+11
501	3519  	2.42354e+09	8.73118e+09	1.34716e+09	3.55318e+11
502	3561  	2.58188e+09	1.15075e+10	1.34716e+09	3.5949e+11 
503	3649  	2.55525e+09	1.12561e+10	1.34583e+09	3.59822e+11
504	3491  	2.63319e+09	1.23733e+10	1.34459e+09	3.59611e+11
505	3578  	2.48271e+09	8.76397e+09	1.34455e+09	3.53977e+11
506	3640  	2.71728e+09	1.27484e+10	1.34431e+09	3.68647e+11
507	3593  	3.05758e+09	1.65136e+10	1.34431e+09	3.74396e+11
508	3678  	2.94607e+09	1.50821e+10	1.34253e+09	3.72902e+11
509	3605  	2.55528e+09	1.02448e+10	1.34063e+09	3.55929e+11
510	3560  	2.55845e+09	1.04593e+10	1.34041e+09	3.56293e+11
511	3593  	2.7161e+09 	1.23579e+10	1.34026e+09	3.59332e+11
512	3548  	2.46349e+09	8.34558e+09	1.33905e+09	3.54416e+11
513	3593  	2.86989e+09	1.45991e+10	1.33903e+09	3.87761e+11
